"","State","Happiness","Trump.Vote","Population","StateName","State1","Stadium","Capacity","City","Year.opened","Type","Tenant","HomeWins","HomeGames","FranchiseValue","Attendence","WinPct"
"56","Utah",4,45.1,3159345,"Utah","UT","Vivint Smart Home Arena",18303,"Salt Lake City",1991,"Basketball","Utah Jazz",31,46,1.2e+09,98.8,0.673913043478261
"57","Pennsylvania",3,48.2,12823989,"Pennsylvania","PA","Wells Fargo Center",20328,"Philadelphia",1996,"Basketball","Philadelphia 76ers",33,45,1.18e+09,85.3,0.733333333333333
"58","Wisconsin",3,47.2,5818049,"Wisconsin","WI","Wisconsin Entertainment and Sports Center",17500,"Milwaukee",2018,"Basketball","Milwaukee Bucks",28,44,1.075e+09,84.6,0.636363636363636
"59","Texas",5,52.2,28704330,"Texas","TX","AT&T Stadium",1e+05,"Arlington",2009,"Football","Dallas Cowboys",3,8,4.8e+09,92.7,0.375
"60","New Jersey",3,41,9032872,"New Jersey","NJ","MetLife Stadium",82500,"East Rutherford",2010,"Football","New York Giants",2,8,3.3e+09,92.7,0.25
"61","New Jersey",3,41,9032872,"New Jersey","NJ","MetLife Stadium",82500,"East Rutherford",2010,"Football","New York Jets",4,8,2.75e+09,94,0.5
"62","Maryland",2,33.9,6079602,"Maryland","MD","FedExField",82000,"Landover",1997,"Football","Washington Redskins",5,8,3.1e+09,88.4,0.625
"63","Wisconsin",3,47.2,5818049,"Wisconsin","WI","Lambeau Field",81435,"Green Bay",1957,"Football","Green Bay Packers",4,8,2.55e+09,106.8,0.5
"64","Florida",4,48.6,21312211,"Florida","FL","TIAA Bank Field",76867,"Jacksonville",1949,"Football","Jacksonville Jaguars",6,8,2.075e+09,95.6,0.75
"65","Missouri",2,56.4,6135888,"Missouri","MO","Arrowhead Stadium",76416,"Kansas City",1972,"Football","Kansas City Chiefs",6,9,2.1e+09,97,0.666666666666667
"66","Colorado",5,43.3,5684203,"Colorado","CO","Sports Authority Field at Mile High",76125,"Denver",2001,"Football","Denver Broncos",4,8,2.6e+09,100.3,0.5
"67","North Carolina",3,49.8,10390149,"North Carolina","NC","Bank of America Stadium",75419,"Charlotte",1996,"Football","Carolina Panthers",6,8,2.3e+09,99.8,0.75
"68","Louisiana",1,58.1,4682509,"Louisiana","LA","Mercedes-Benz Superdome",73370,"New Orleans",1975,"Football","New Orleans Saints",8,9,2e+09,95.6,0.888888888888889
"69","New York",2,36.5,19862512,"New York","NY","New Era Field",71608,"Orchard Park",1973,"Football","Buffalo Bills",6,8,1.6e+09,91.4,0.75
"70","Texas",5,52.2,28704330,"Texas","TX","NRG Stadium",71500,"Houston",2002,"Football","Houston Texans",3,8,2.8e+09,101,0.375
"71","Maryland",2,33.9,6079602,"Maryland","MD","M&T Bank Stadium",71008,"Baltimore",1998,"Football","Baltimore Ravens",5,8,2.5e+09,99.4,0.625
"72","Tennessee",2,60.7,6782564,"Tennessee","TN","Nissan Stadium",68798,"Nashville",1999,"Football","Tennessee Titans",6,8,2.05e+09,95,0.75
